@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[1.0],0.7,0.8,0.8,0.7,0.5429,0.4764
[1.1],0.7,0.8,0.8,0.7,0.3286,0.2191
[1.1],0.7,0.8,0.8,0.7,0.6714,0.2191
[1.0],0.9,0.7,0.8,0.7,0.2143,0.4728
[1.0],0.9,0.7,0.8,0.7,0.5714,0.4728
[1.0],0.9,0.7,0.8,0.7,0.4286,0.4728
[1.0],0.9,0.7,0.8,0.7,0.2857,0.4728
[1.0],0.9,0.7,0.8,0.7,0.4143,0.4728
[1.0],0.9,0.7,0.8,0.7,0.9143,0.4728
[1.0],0.9,0.8,0.8,0.7,0.1143,0.7382
[1.0],0.9,0.5,0.8,0.9,0.0714,0.5667
[1.0],0.9,0.5,0.7,0.7,0.5714,0.3085
[1.0],0.9,0.5,0.7,0.7,0.9,0.3085
[1.0],0.9,0.5,0.7,0.7,0.4429,0.3085
[1.0],0.9,0.8,0.8,0.7,0.1857,0.5757
[1.0],0.9,0.8,0.8,0.9,0.4143,0.5757
[1.1],0.9,0.8,0.8,0.7,0.3286,0.1466
[1.0],0.7,0.8,0.8,0.9,0.0571,0.4282
[1.0],0.9,0.9,0.8,0.7,0.1857,0.6205
[1.0],0.9,0.7,0.9,0.7,0.5,0.4433
[1.0],0.9,0.7,0.9,0.7,0.4286,0.4433
[1.0],0.9,0.5,0.8,0.7,0.5,0.1321
[1.0],0.9,0.5,0.8,0.7,0.4571,0.1321
[1.0],0.3,0.8,0.4,0.9,0.1143,0.6299
[1.0],0.9,0.5,0.8,0.7,0.2286,0.666
[1.0],0.7,0.8,0.2,0.7,0.5,0.5847
[1.0],0.9,0.8,0.8,0.7,0.2857,0.6464
[1.0],0.5,0.8,0.9,0.7,0.2714,0.5149
[1.0],0.5,0.8,0.9,0.7,0.2286,0.5149
[1.0],0.9,0.8,0.8,0.9,0.0857,0.6028
[1.0],0.7,0.8,0.8,0.7,0.4429,0.6118
[1.0],0.9,0.8,0.8,0.9,0.3143,0.5967
[1.0],0.9,0.8,0.8,0.7,0.6571,0.5967
[1.0],0.5,0.8,0.8,0.9,0.0857,0.6028
[1.0],0.5,0.8,0.8,0.7,0.1143,0.6028
[1.0],0.7,0.8,0.5,0.7,0.1571,0.5757
[1.0],0.9,0.8,0.8,0.9,0.4143,0.5606
[1.0],0.9,0.8,0.8,0.7,0.2143,0.5609
[1.0],0.9,0.8,0.8,0.7,0.2429,0.5609
[1.0],0.9,0.8,0.8,0.7,0.2429,0.232
[1.0],0.9,0.8,0.8,0.7,0.2571,0.232
[1.0],0.9,0.8,0.8,0.7,0.1429,0.232
[1.0],0.9,0.8,0.8,0.7,0.1143,0.232
[1.0],0.9,0.8,0.8,0.9,0.1143,0.04
[1.0],0.9,0.8,0.8,0.7,0.6286,0.6028
[1.0],0.9,0.8,0.8,0.9,0.5,0.6028
[1.0],0.9,0.8,0.8,0.7,0.7143,0.5492
[1.0],0.7,0.8,0.8,0.7,0.3429,0.6028
[1.0],0.9,0.5,0.8,0.7,0.2571,0.6028
[1.0],0.9,0.5,0.8,0.9,0.1429,0.6028
[1.1],0.7,0.8,0.8,0.7,0.7857,0.7984
[1.0],0.9,0.5,0.4,0.9,0.3,0.6289
[1.1],0.7,0.8,0.8,0.7,0.4857,0.3951
[1.0],0.3,0.8,0.8,0.7,0.3857,0.6199
[1.0],0.3,0.8,0.8,0.7,0.0857,0.6199
[1.0],0.3,0.8,0.8,0.9,0.1429,0.6199
[1.0],0.7,0.8,0.8,0.7,0.3571,0.6178
[1.0],0.7,0.8,0.8,0.7,0.1857,0.6178
[1.0],0.7,0.8,0.8,0.7,0.2714,0.6178
