classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Sem Vítimas,Plena Noite,Céu Claro,Curva,Camioneta,"0,3","0,6265"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,6","0,6268"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4857","0,6268"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1857","0,6268"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,3714","0,0831"
Sem Vítimas,Pleno dia,Chuva,Reta,Automóvel,"0,3571","0,4896"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5857","0,313"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,4143","0,313"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,2429","0,313"
Sem Vítimas,Pleno dia,Chuva,Aclive,Automóvel,"0,3286","0,8796"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,0857","0,5832"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,0571","0,5832"
Com Vítimas Feridas,Pleno dia,Nublado,Interseção de Vias,Automóvel,"0,4143","0,6148"
Com Vítimas Feridas,Pleno dia,Nublado,Interseção de Vias,Motocicleta,"0,1714","0,6148"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,2714","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,2571","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,5714","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,7","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,1571","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,0429","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,1143","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,5429","0,034"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Micro-ônibus,"0,0714","0,034"
Com Vítimas Feridas,Amanhecer,Céu Claro,Curva,Automóvel,"0,0143","0,183"
Com Vítimas Feridas,Amanhecer,Céu Claro,Curva,Automóvel,"0,2714","0,183"
Com Vítimas Feridas,Amanhecer,Céu Claro,Curva,Automóvel,"0,3286","0,183"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Camioneta,"0,4857","0,1107"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Caminhonete,"0,0714","0,6265"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Caminhonete,"0,1857","0,6265"
Com Vítimas Feridas,Anoitecer,Chuva,Reta,Automóvel,"0,3429","0,5757"
Sem Vítimas,Plena Noite,Nublado,Reta,Automóvel,"0,2","0,6428"
Sem Vítimas,Plena Noite,Nublado,Reta,Automóvel,"0,2286","0,6428"
Sem Vítimas,Plena Noite,Nublado,Reta,Utilitário,"0,3714","0,6428"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Automóvel,"0,3","0,5155"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Automóvel,"0,2714","0,5155"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,1571","0,6356"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1286","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1714","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1143","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2286","0,6211"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Automóvel,"0,1429","0,6157"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Motocicleta,"0,0857","0,6148"
Sem Vítimas,Plena Noite,Nublado,Declive,Automóvel,"0,2","0,6299"
Sem Vítimas,Plena Noite,Nublado,Declive,Automóvel,"0,2","0,6299"
Sem Vítimas,Plena Noite,Nublado,Declive,Automóvel,"0,5143","0,6299"
Com Vítimas Feridas,Pleno dia,Nublado,Aclive,Motocicleta,"0,3714","0,5817"
Com Vítimas Feridas,Pleno dia,Nublado,Aclive,Motoneta,"0,0429","0,5817"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,0,"0,6897"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,4143","0,6897"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,4286","0,6897"
Sem Vítimas,Pleno dia,Garoa/Chuvisco,Retorno Regulamentado,Automóvel,"0,4714","0,6238"
Sem Vítimas,Pleno dia,Garoa/Chuvisco,Retorno Regulamentado,Caminhonete,"0,1714","0,6238"
Sem Vítimas,Plena Noite,Garoa/Chuvisco,Em Obras,Automóvel,"0,1429","0,1664"
